ID,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance,Chemistry,Astrology,Spaceology,Life Science,Earth Science,Data Science,kfold
9431,1,0,1,1,0,0,0,0,0,0,0,0,0
7960,1,1,0,1,0,0,0,0,0,0,0,1,0
8578,1,1,0,1,0,0,0,0,0,1,0,0,0
1651,1,0,1,1,0,0,0,0,0,0,0,0,0
4011,1,0,1,1,0,0,0,0,0,0,0,0,0
5204,1,0,1,1,0,0,0,0,0,1,0,0,0
1015,1,1,0,1,0,0,0,0,0,0,0,0,0
5344,1,0,1,1,0,0,0,0,0,1,0,1,0
3224,1,0,1,1,0,0,0,0,0,1,0,1,0
3229,1,0,1,1,0,0,0,0,0,0,0,0,0
5863,1,1,0,1,0,0,0,0,0,1,0,1,3
7201,1,0,1,1,0,0,0,0,0,0,0,1,0
640,0,1,1,1,0,0,0,0,0,0,0,0,2
512,1,0,1,1,0,0,0,0,0,1,0,1,0
7955,1,0,1,1,0,0,0,0,0,0,0,0,1
8599,1,0,1,1,0,0,0,0,0,0,0,1,0
2759,1,0,1,1,0,0,0,0,0,0,0,1,0
2176,1,0,1,1,0,0,0,0,0,1,0,1,0
6897,1,0,1,1,0,0,0,0,0,1,0,1,1
9624,1,0,1,1,0,0,1,0,0,1,0,0,4
1713,1,0,1,1,0,0,0,0,0,1,0,0,0
8219,1,1,1,0,0,0,0,0,0,0,0,1,0
1595,1,1,0,1,0,0,0,0,0,1,0,0,0
2117,1,0,1,1,0,0,0,0,0,0,0,0,1
8788,1,1,1,0,0,0,0,0,0,1,0,0,2
6109,1,0,0,1,1,0,0,0,0,0,0,0,0
1935,1,0,1,1,0,0,0,0,0,0,0,0,1
3185,1,0,1,1,0,0,1,0,0,1,0,1,1
105,1,0,1,1,0,0,0,0,0,1,0,0,0
7014,1,0,1,1,0,0,0,0,0,0,0,0,1
4982,1,0,1,1,0,0,0,0,0,1,0,0,1
675,1,0,1,1,0,0,0,0,0,0,0,1,0
8224,1,0,1,1,0,0,0,0,0,0,0,0,2
867,1,0,1,1,0,0,0,0,0,1,0,1,1
6027,1,1,1,0,0,0,0,0,0,1,0,1,3
1373,1,1,0,1,0,0,0,0,0,1,0,0,1
7995,1,0,1,1,0,0,0,0,0,0,0,1,1
8762,1,0,1,1,0,0,0,0,0,1,0,0,1
7465,1,0,1,1,0,0,0,0,0,1,0,1,1
4120,1,0,1,1,0,0,0,0,0,1,0,0,1
8802,1,0,1,1,0,0,0,0,0,0,0,0,2
5823,1,0,0,1,1,0,0,0,0,0,0,0,4
5577,1,1,0,1,0,0,0,0,0,1,0,0,2
1283,1,0,1,1,0,0,0,0,0,0,1,0,4
8352,1,0,1,1,0,0,0,0,0,1,0,0,1
9255,0,1,1,1,0,0,0,0,0,1,0,1,0
5600,1,1,1,0,0,0,0,0,0,1,0,0,3
4452,1,1,0,1,0,0,0,0,0,0,0,0,1
8628,1,0,1,1,0,0,0,0,0,0,0,1,1
7512,1,0,1,1,0,0,0,0,0,0,0,0,2
6943,1,0,1,1,0,0,0,0,0,1,0,0,2
6963,1,0,1,1,0,0,0,1,0,1,0,0,1
9821,1,1,1,0,0,0,0,0,0,0,0,0,2
1819,1,0,0,1,1,0,0,0,0,1,0,0,4
4059,1,0,1,1,0,0,0,0,0,1,0,1,1
7521,1,0,1,1,0,0,0,0,0,1,0,0,2
570,1,0,1,1,0,0,0,0,0,0,0,1,1
2850,1,0,1,1,0,0,1,0,0,0,0,0,0
9251,1,0,1,1,0,0,0,0,0,1,0,0,2
3277,1,1,0,1,0,0,0,0,0,1,0,0,3
1722,1,0,1,1,0,0,0,0,0,0,0,0,2
187,1,1,0,1,0,0,0,0,0,0,0,0,2
1321,1,1,0,1,0,0,0,0,0,0,0,1,1
1730,1,1,0,1,0,0,0,0,0,1,0,0,3
915,1,0,1,1,0,0,0,0,0,0,0,0,3
1222,1,1,0,1,0,0,0,0,0,0,0,1,2
1739,1,0,1,1,0,0,0,0,0,0,0,0,3
9534,1,1,0,1,0,0,0,0,0,1,0,0,4
1226,1,0,1,1,0,0,0,0,0,1,0,0,2
8289,1,1,0,1,0,0,0,0,0,0,0,0,3
3354,1,0,1,1,0,0,1,0,0,1,0,1,2
277,1,0,1,1,0,0,0,0,0,0,0,0,3
7151,1,0,1,1,0,0,0,0,0,1,0,1,2
3830,1,0,1,1,0,0,0,0,0,1,0,0,3
6984,1,0,1,1,0,0,0,0,0,1,0,1,2
2285,1,0,1,1,0,0,0,0,0,1,0,0,3
2800,1,0,1,1,0,0,0,0,0,1,0,1,2
9545,1,0,1,1,0,0,1,0,0,0,0,1,1
349,1,0,1,1,0,0,0,0,0,0,0,0,3
5156,1,0,1,1,0,0,0,0,0,0,0,1,1
4557,1,0,1,1,0,0,0,0,0,0,0,1,2
7283,1,0,1,1,0,0,0,0,0,1,0,1,2
2021,1,1,0,1,0,0,0,0,0,0,0,0,3
2020,1,0,1,1,0,0,0,0,0,1,0,0,3
3650,1,0,1,1,0,0,0,0,0,0,0,1,2
4894,1,1,0,1,0,0,0,0,0,0,0,1,4
3651,1,1,0,1,0,0,0,0,0,1,0,0,4
3653,1,0,1,1,0,0,0,0,0,1,0,1,3
2512,1,1,1,0,0,0,0,0,0,0,0,1,1
5463,1,0,1,1,0,0,0,0,0,0,0,0,4
9696,1,0,1,1,0,0,0,0,0,1,0,1,3
3902,1,0,1,1,0,0,0,0,0,0,0,1,2
6218,1,1,1,0,0,0,0,0,0,0,0,0,3
1547,1,0,1,1,0,0,0,0,0,1,0,0,4
3903,1,1,0,1,0,0,0,0,0,0,0,0,4
4886,1,0,1,1,0,0,0,0,0,0,0,1,3
9181,0,1,1,1,0,0,0,0,0,0,0,0,3
3959,1,0,1,1,0,0,0,0,0,1,0,1,3
2584,1,0,1,1,0,0,0,0,0,1,0,1,4
8072,1,0,1,1,0,0,0,0,0,0,0,0,4
5880,1,0,1,1,0,0,0,0,0,1,0,1,4
9175,1,0,1,1,0,0,0,0,0,0,0,1,3
7736,1,0,1,1,0,0,0,0,0,0,0,1,3
3894,1,0,1,1,0,0,0,0,0,1,0,1,4
2002,1,0,1,1,0,0,0,0,0,1,0,0,4
5731,1,0,1,1,0,0,0,0,0,0,0,1,4
2539,1,0,1,1,0,0,0,0,0,0,0,1,4
73,1,0,1,1,0,0,0,0,0,1,0,1,4
1100,1,0,1,1,0,0,0,0,0,0,0,0,4
5267,1,0,1,1,0,0,0,0,0,1,0,0,4
6608,1,1,0,1,0,0,0,0,0,1,0,1,4
8114,1,0,1,1,0,0,0,0,0,0,0,1,4
6101,1,0,1,1,0,0,0,0,0,1,1,0,2
6619,1,0,0,1,0,0,0,0,0,0,0,1,0
2058,1,0,0,1,0,0,0,0,0,1,0,1,0
4448,1,0,0,1,0,0,0,0,0,1,0,0,0
8365,1,0,0,1,0,0,0,0,0,1,0,0,0
6673,1,1,0,0,0,0,0,0,0,1,0,0,0
6620,1,0,0,1,0,0,0,0,0,0,0,0,0
8468,1,0,0,1,0,0,0,0,0,1,0,0,0
4467,0,0,1,1,0,0,0,0,0,1,0,1,0
6609,1,1,0,0,0,0,0,0,0,0,0,1,0
4544,1,1,0,0,0,0,0,0,0,0,0,0,0
8464,1,0,0,1,0,0,0,0,0,1,0,0,0
6621,1,0,1,0,0,0,0,0,0,0,0,0,0
6610,1,0,0,1,0,0,0,0,0,0,0,1,0
8369,1,0,1,0,0,0,0,0,0,1,0,0,0
2192,1,0,1,0,0,0,0,0,0,1,0,1,0
8371,1,0,1,0,0,0,0,0,0,0,0,0,0
2189,1,0,0,1,0,0,0,0,0,1,0,1,0
8373,1,0,0,1,0,0,0,0,0,1,0,1,0
2230,0,0,1,1,0,0,0,0,0,0,0,0,0
2231,1,1,0,0,0,0,0,0,0,1,0,0,0
